ts_ms,sta,ap,rssi_dbm
1772910913469,sta2,02:00:00:00:02:00,-64
1772910914475,sta1,02:00:00:00:02:00,-39
1772910914475,sta2,02:00:00:00:02:00,-64
1772910915481,sta1,02:00:00:00:02:00,-39
1772910915481,sta2,02:00:00:00:02:00,-64
1772910916488,sta1,02:00:00:00:02:00,-39
1772910916488,sta2,02:00:00:00:02:00,-64
1772910917496,sta1,02:00:00:00:02:00,-39
1772910917496,sta2,02:00:00:00:02:00,-64
1772910918503,sta1,02:00:00:00:02:00,-39
1772910918503,sta2,02:00:00:00:02:00,-64
1772910919509,sta1,02:00:00:00:02:00,-39
1772910919509,sta2,02:00:00:00:02:00,-64
1772910920516,sta1,02:00:00:00:02:00,-39
1772910920516,sta2,02:00:00:00:02:00,-64
1772910921523,sta1,02:00:00:00:02:00,-39
1772910921523,sta2,02:00:00:00:02:00,-64
1772910922529,sta1,02:00:00:00:02:00,-39
1772910922529,sta2,02:00:00:00:02:00,-64
1772910923536,sta1,02:00:00:00:02:00,-39
1772910923536,sta2,02:00:00:00:02:00,-64
1772910924541,sta1,02:00:00:00:02:00,-39
1772910924541,sta2,02:00:00:00:02:00,-64
1772910925548,sta1,02:00:00:00:02:00,-39
1772910925548,sta2,02:00:00:00:02:00,-64
1772910926556,sta1,02:00:00:00:02:00,-39
1772910926556,sta2,02:00:00:00:02:00,-64
1772910927572,sta1,02:00:00:00:02:00,-39
1772910927572,sta2,02:00:00:00:02:00,-64
1772910928580,sta1,02:00:00:00:02:00,-39
1772910928580,sta2,02:00:00:00:02:00,-64
1772910929587,sta1,02:00:00:00:02:00,-39
1772910929587,sta2,02:00:00:00:02:00,-64
1772910930592,sta1,02:00:00:00:02:00,-39
1772910930592,sta2,02:00:00:00:02:00,-64
1772910931598,sta1,02:00:00:00:02:00,-39
1772910931598,sta2,02:00:00:00:02:00,-64
1772910932605,sta1,02:00:00:00:02:00,-39
1772910932605,sta2,02:00:00:00:02:00,-64
1772910933612,sta1,02:00:00:00:02:00,-39
1772910933612,sta2,02:00:00:00:02:00,-64
1772910934616,sta1,02:00:00:00:02:00,-39
1772910934616,sta2,02:00:00:00:02:00,-64
1772910935624,sta1,02:00:00:00:02:00,-39
1772910935624,sta2,02:00:00:00:02:00,-64
1772910936632,sta1,02:00:00:00:02:00,-39
1772910936632,sta2,02:00:00:00:02:00,-64
1772910937646,sta1,02:00:00:00:02:00,-39
1772910937646,sta2,02:00:00:00:02:00,-64
1772910938653,sta1,02:00:00:00:02:00,-39
1772910938653,sta2,02:00:00:00:02:00,-64
1772910939660,sta1,02:00:00:00:02:00,-39
1772910939660,sta2,02:00:00:00:02:00,-64
1772910940665,sta1,02:00:00:00:02:00,-39
1772910940665,sta2,02:00:00:00:02:00,-64
1772910941671,sta1,02:00:00:00:02:00,-39
1772910941671,sta2,02:00:00:00:02:00,-64
1772910942677,sta1,,
1772910942677,sta2,,
1772910947093,sta1,02:00:00:00:03:00,-39
1772910947093,sta2,02:00:00:00:03:00,-64
1772910948399,sta1,02:00:00:00:03:00,-39
1772910948399,sta2,02:00:00:00:03:00,-64
1772910949406,sta1,02:00:00:00:03:00,-39
1772910949406,sta2,02:00:00:00:03:00,-64
1772910950413,sta1,02:00:00:00:03:00,-39
1772910950413,sta2,02:00:00:00:03:00,-64
1772910951420,sta1,02:00:00:00:03:00,-39
1772910951420,sta2,02:00:00:00:03:00,-64
1772910952427,sta1,02:00:00:00:03:00,-39
1772910952427,sta2,02:00:00:00:03:00,-64
1772910953435,sta1,02:00:00:00:03:00,-39
1772910953435,sta2,02:00:00:00:03:00,-64
1772910954442,sta1,02:00:00:00:03:00,-39
1772910954442,sta2,02:00:00:00:03:00,-64
1772910955449,sta1,02:00:00:00:03:00,-39
1772910955449,sta2,02:00:00:00:03:00,-64
1772910956467,sta1,02:00:00:00:03:00,-39
1772910956467,sta2,02:00:00:00:03:00,-64
1772910957475,sta1,02:00:00:00:03:00,-39
1772910957475,sta2,02:00:00:00:03:00,-64
1772910958482,sta1,02:00:00:00:03:00,-39
1772910958482,sta2,02:00:00:00:03:00,-64
1772910959489,sta1,02:00:00:00:03:00,-39
1772910959489,sta2,02:00:00:00:03:00,-64
1772910960497,sta1,02:00:00:00:03:00,-39
1772910960497,sta2,02:00:00:00:03:00,-64
1772910961504,sta1,02:00:00:00:03:00,-39
1772910961504,sta2,02:00:00:00:03:00,-64
1772910962510,sta1,02:00:00:00:03:00,-39
1772910962510,sta2,02:00:00:00:03:00,-64
1772910963518,sta1,02:00:00:00:03:00,-39
1772910963518,sta2,02:00:00:00:03:00,-64
1772910964526,sta1,02:00:00:00:03:00,-39
1772910964526,sta2,02:00:00:00:03:00,-64
1772910965533,sta1,02:00:00:00:03:00,-39
1772910965533,sta2,02:00:00:00:03:00,-64
1772910966541,sta1,02:00:00:00:03:00,-39
1772910966541,sta2,02:00:00:00:03:00,-64
1772910967548,sta1,02:00:00:00:03:00,-39
1772910967548,sta2,02:00:00:00:03:00,-64
1772910968554,sta1,02:00:00:00:03:00,-39
1772910968554,sta2,02:00:00:00:03:00,-64
1772910969562,sta1,02:00:00:00:03:00,-39
1772910969562,sta2,02:00:00:00:03:00,-64
1772910970577,sta1,02:00:00:00:03:00,-39
1772910970577,sta2,02:00:00:00:03:00,-64
1772910971584,sta1,02:00:00:00:03:00,-39
1772910971584,sta2,02:00:00:00:03:00,-64
1772910972591,sta1,02:00:00:00:03:00,-39
1772910972591,sta2,02:00:00:00:03:00,-64
1772910973614,sta1,02:00:00:00:03:00,-39
1772910973614,sta2,02:00:00:00:03:00,-64
1772910974621,sta1,02:00:00:00:03:00,-39
1772910974621,sta2,02:00:00:00:03:00,-64
1772910975627,sta1,02:00:00:00:03:00,-39
1772910975627,sta2,02:00:00:00:03:00,-64
