ts_ms,sta,request_id,status_code,latency_ms
1776976585758,sta3,1099,200,11.246
1776976585795,sta2,1200,200,5.001
1776976585796,sta4,1188,200,14.007
1776976585806,sta3,1100,200,9.875
1776976585842,sta4,1189,200,12.291
1776976585839,sta2,1201,200,16.16
1776976585849,sta3,1101,200,14.759
1776976585888,sta4,1190,200,10.833
1776976585888,sta2,1202,200,12.911999999999999
1776976585896,sta3,1102,200,16.493000000000002
1776976585938,sta4,1191,200,12.1
1776976585938,sta2,1203,200,14.05
1776976585945,sta3,1103,200,11.969999999999999
1776976585984,sta4,1192,200,10.756
1776976585991,sta3,1104,200,11.799000000000001
1776976585990,sta2,1204,200,12.033
1776976586029,sta4,1193,200,11.964
1776976586039,sta2,1205,200,4.234
1776976586038,sta3,1105,200,10.519
1776976586077,sta2,1206,200,4.423
1776976586073,sta4,1194,200,11.405999999999999
1776976586082,sta3,1106,200,13.772
1776976586117,sta2,1207,200,3.095
1776976586123,sta4,1195,200,12.69
1776976586135,sta3,1107,200,12.529
1776976586153,sta2,1208,200,14.454
1776976586180,sta3,1108,200,10.414
1776976586175,sta4,1196,200,12.252
1776976586207,sta2,1209,200,13.079
1776976586226,sta4,1197,200,9.461
1776976586223,sta3,1109,200,16.881
1776976586257,sta2,1210,200,10.762
1776976586269,sta4,1198,200,12.711
1776976586279,sta3,1110,200,11.617
1776976586302,sta2,1211,200,3.987
1776976586316,sta4,1199,200,11.306999999999999
1776976586330,sta3,1111,200,10.802000000000001
1776976586339,sta2,1212,200,10.732000000000001
1776976586359,sta4,1200,200,9.495
1776976586381,sta3,1112,200,14.613
1776976586381,sta2,1213,200,16.279
1776976586405,sta4,1201,200,7.638
1776976586428,sta3,1113,200,19.906
1776976586430,sta2,1214,200,22.308999999999997
1776976586447,sta4,1202,200,12.68
1776976586487,sta3,1114,200,15.927
1776976586493,sta2,1215,200,24.897
1776976586501,sta4,1203,200,15.889000000000001
1776976586542,sta3,1115,200,15.396
1776976586553,sta2,1216,200,16.537
1776976586558,sta4,1204,200,18.081
1776976586593,sta3,1116,200,16.458000000000002
1776976586612,sta2,1217,200,12.829
1776976586615,sta4,1205,200,11.674999999999999
1776976586647,sta3,1117,200,14.041
1776976586662,sta4,1206,200,12.978
1776976586661,sta2,1218,200,16.426
1776976586694,sta3,1118,200,11.632
1776976586712,sta2,1219,200,5.308
1776976586709,sta4,1207,200,19.232
1776976586740,sta3,1119,200,14.87
1776976586753,sta2,1220,200,6.44
1776976586764,sta4,1208,200,10.789
1776976586793,sta3,1120,200,12.952
1776976586794,sta2,1221,200,12.036
1776976586819,sta4,1209,200,14.792
1776976586840,sta3,1121,200,8.312999999999999
1776976586840,sta2,1222,200,15.377
1776976586871,sta4,1210,200,12.375
1776976586884,sta3,1122,200,13.443999999999999
1776976586896,sta2,1223,200,15.224
1776976586917,sta4,1211,200,12.251
1776976586932,sta3,1123,200,12.285
1776976586952,sta2,1224,200,14.561
1776976586967,sta4,1212,200,14.805
1776976580697,sta1,411,0,3102.831
1776976586981,sta3,1124,200,13.462
1776976587007,sta2,1225,200,13.572000000000001
1776976587022,sta4,1213,200,12.055
1776976587036,sta3,1125,200,14.860999999999999
1776976587056,sta2,1226,200,5.598
1776976587076,sta4,1214,200,12.721
1776976587088,sta3,1126,200,16.472
1776976587102,sta2,1227,200,5.5649999999999995
1776976587126,sta4,1215,200,11.776
1776976587138,sta3,1127,200,16.036
1776976587142,sta2,1228,200,14.686
1776976587171,sta4,1216,200,10.261
1776976587197,sta2,1229,200,6.593
1776976587189,sta3,1128,200,13.609
1776976587220,sta4,1217,200,10.217
1776976587240,sta2,1230,200,9.871
1776976587243,sta3,1129,200,12.757
1776976587262,sta4,1218,200,10.442
1776976587283,sta2,1231,200,2.931
1776976587294,sta3,1130,200,12.626999999999999
1776976587307,sta4,1219,200,14.535
1776976587319,sta2,1232,200,12.455
1776976587344,sta3,1131,200,11.308
1776976587356,sta4,1220,200,10.46
1776976587364,sta2,1233,200,14.203000000000001
1776976587389,sta3,1132,200,13.753
1776976587401,sta4,1221,200,11.979
1776976587413,sta2,1234,200,9.135000000000002
1776976587438,sta3,1133,200,10.186
1776976587448,sta4,1222,200,11.987
1776976587457,sta2,1235,200,3.1710000000000003
1776976587480,sta3,1134,200,10.089
1776976587500,sta2,1236,200,4.178
1776976587493,sta4,1223,200,14.542
1776976587523,sta3,1135,200,12.978
1776976587545,sta2,1237,200,4.241
1776976587548,sta4,1224,200,10.917
1776976587577,sta3,1136,200,12.096
1776976587584,sta2,1238,200,10.225
1776976587597,sta4,1225,200,9.665
1776976587624,sta3,1137,200,11.215
1776976587625,sta2,1239,200,15.76
1776976587647,sta4,1226,200,11.33
1776976587671,sta3,1138,200,11.788
1776976587674,sta2,1240,200,15.879999999999999
1776976587695,sta4,1227,200,12.956000000000001
1776976587715,sta3,1139,200,13.632
1776976587722,sta2,1241,200,4.369
1776976587744,sta4,1228,200,11.037999999999998
1776976587767,sta2,1242,200,4.486000000000001
1776976587765,sta3,1140,200,12.421
1776976587789,sta4,1229,200,12.952
1776976587805,sta2,1243,200,11.764
1776976587811,sta3,1141,200,16.296000000000003
1776976587835,sta4,1230,200,9.581
1776976587852,sta2,1244,200,15.207999999999998
1776976587862,sta3,1142,200,20.27
1776976587882,sta4,1231,200,9.882
1776976587902,sta2,1245,200,16.337999999999997
1776976587917,sta3,1143,200,15.761000000000001
1776976587927,sta4,1232,200,17.687
1776976587959,sta2,1246,200,3.525
1776976587966,sta3,1144,200,13.084999999999999
1776976587979,sta4,1233,200,14.189
1776976587999,sta2,1247,200,15.732
1776976588014,sta3,1145,200,14.746
1776976588034,sta4,1234,200,14.723
1776976588053,sta2,1248,200,12.958
1776976588069,sta3,1146,200,15.746
1776976588081,sta4,1235,200,18.8
1776976588100,sta2,1249,200,5.213
1776976588122,sta3,1147,200,12.205
1776976588136,sta4,1236,200,10.217
1776976588140,sta2,1250,200,9.081000000000001
1776976588171,sta3,1148,200,12.283999999999999
1776976588183,sta2,1251,200,11.224
1776976588180,sta4,1237,200,12.378
1776976588222,sta3,1149,200,10.361
1776976588226,sta2,1252,200,3.3409999999999997
1776976588231,sta4,1238,200,12.041
1776976588268,sta2,1253,200,15.152000000000001
1776976588265,sta3,1150,200,10.838000000000001
1776976588283,sta4,1239,200,13.877
1776976588316,sta2,1254,200,3.182
1776976588317,sta3,1151,200,11.053
1776976588336,sta4,1240,200,10.149000000000001
1776976588352,sta2,1255,200,13.48
1776976588364,sta3,1152,200,13.045
1776976588382,sta4,1241,200,10.836
1776976588406,sta2,1256,200,11.450999999999999
1776976588411,sta3,1153,200,13.418
1776976588426,sta4,1242,200,9.107000000000001
1776976588451,sta2,1257,200,13.759
1776976588458,sta3,1154,200,14.017999999999999
1776976588468,sta4,1243,200,10.928
1776976588499,sta2,1258,200,12.606
1776976588507,sta3,1155,200,9.234
1776976588514,sta4,1244,200,12.674
1776976588544,sta2,1259,200,12.763
1776976588553,sta3,1156,200,13.702
1776976588564,sta4,1245,200,15.443
1776976588590,sta2,1260,200,3.1519999999999997
1776976588600,sta3,1157,200,12.886999999999999
1776976588612,sta4,1246,200,13.59
1776976588632,sta2,1261,200,3.5260000000000002
1776976588652,sta3,1158,200,11.197000000000001
1776976588657,sta4,1247,200,14.863
1776976588674,sta2,1262,200,11.294
1776976588695,sta3,1159,200,12.75
1776976588708,sta4,1248,200,9.639
1776976588720,sta2,1263,200,9.899
1776976588742,sta3,1160,200,13.270999999999999
1776976588758,sta4,1249,200,9.435
